timestamp,lat,lon,GHI,timestep
2025-06-14 12:30:00,37.57368421052632,126.96842105263158,715.3585815429688,3
2025-06-14 13:00:00,37.57368421052632,126.96842105263158,688.1109008789062,4
2025-06-14 13:30:00,37.57368421052632,126.96842105263158,656.1878051757812,5
2025-06-14 14:00:00,37.57368421052632,126.96842105263158,623.9970092773438,6
2025-06-14 11:30:00,37.57368421052632,126.98947368421052,789.0908203125,1
2025-06-14 12:00:00,37.57368421052632,126.98947368421052,789.525634765625,2
2025-06-14 12:30:00,37.57368421052632,126.98947368421052,779.6348876953125,3
2025-06-14 13:00:00,37.57368421052632,126.98947368421052,758.5201416015625,4
2025-06-14 13:30:00,37.57368421052632,126.98947368421052,731.9503173828125,5
2025-06-14 14:00:00,37.57368421052632,126.98947368421052,701.523193359375,6
2025-06-14 11:30:00,37.57368421052632,127.01052631578948,885.9248046875,1
2025-06-14 12:00:00,37.57368421052632,127.01052631578948,881.4429931640625,2
2025-06-14 12:30:00,37.57368421052632,127.01052631578948,866.5732421875,3
2025-06-14 13:00:00,37.57368421052632,127.01052631578948,842.2271728515625,4
2025-06-14 13:30:00,37.57368421052632,127.01052631578948,809.4877319335938,5
2025-06-14 14:00:00,37.57368421052632,127.01052631578948,769.3594970703125,6
2025-06-14 11:30:00,37.57368421052632,127.03157894736842,893.6607055664062,1
2025-06-14 12:00:00,37.57368421052632,127.03157894736842,887.9178466796875,2
2025-06-14 12:30:00,37.57368421052632,127.03157894736842,871.8570556640625,3
2025-06-14 13:00:00,37.57368421052632,127.03157894736842,849.7528076171875,4
2025-06-14 13:30:00,37.57368421052632,127.03157894736842,819.9270629882812,5
2025-06-14 14:00:00,37.57368421052632,127.03157894736842,781.130126953125,6
2025-06-14 11:30:00,37.57368421052632,127.05263157894737,866.8630981445312,1
2025-06-14 12:00:00,37.57368421052632,127.05263157894737,856.3637084960938,2
2025-06-14 12:30:00,37.57368421052632,127.05263157894737,837.7996215820312,3
2025-06-14 13:00:00,37.57368421052632,127.05263157894737,816.3862915039062,4
2025-06-14 13:30:00,37.57368421052632,127.05263157894737,788.8161010742188,5
